measure,pot,trt,geno,combo,rep,tcid,parent,block,SM,Bv,Bf,did_flwr,Br,Brh,did_rh,B_above,B_below,B_total,B_A,H10_1015,H11_1023,rgr11_1023,H12_1104,rgr12_1104,H13_1111,rgr13_1111,H14_1117,rgr14_1117,H15_1124,rgr15_1124
physiology,126,10,3,11,7,191.6,191,G,634.40000,4.72000,0.00000,0.00000,4.20000,0.00000,0.00000,4.72000,4.20000,8.92000,0.88983,32.30000,51.20000,16.53750,71.10000,11.60833,83.20000,12.10000,96.50000,15.51667,130.50000,34.00000
physiology,91,15,3,12,1,186.1,186,G,932.50000,8.64000,0.00000,0.00000,9.07000,4.70000,1.00000,8.64000,13.77000,22.41000,1.59375,37.40000,39.00000,1.40000,45.40000,3.73333,46.50000,1.10000,51.90000,6.30000,59.20000,7.30000
physiology,170,15,3,12,2,184.1,184,F,1082.90000,6.77000,0.00000,0.00000,6.42000,0.00000,0.00000,6.77000,6.42000,13.19000,0.94830,31.00000,49.10000,15.83750,59.70000,6.18333,64.50000,4.80000,70.70000,7.23333,86.70000,16.00000
physiology,82,15,3,12,3,186.2,186,G,2256.90000,10.12000,0.00000,0.00000,10.80000,6.80000,1.00000,10.12000,17.60000,27.72000,1.73913,37.60000,40.80000,2.80000,57.40000,9.68333,69.00000,11.60000,77.10000,9.45000,89.60000,12.50000
physiology,136,15,3,12,4,191.3,191,F,1771.80000,8.15000,0.00000,0.00000,7.23000,0.00000,0.00000,8.15000,7.23000,15.38000,0.88712,31.00000,20.30000,-9.36250,28.70000,4.90000,41.30000,12.60000,54.50000,15.40000,64.60000,10.10000
physiology,196,15,3,12,5,193.3,193,T,2598.10000,9.86000,0.00000,0.00000,17.63000,16.80000,1.00000,9.86000,34.43000,44.29000,3.49189,38.10000,33.80000,-3.76250,43.90000,5.89167,44.60000,0.70000,51.30000,7.81667,62.20000,10.90000
physiology,276,15,3,12,6,185.3,185,J,591.40000,6.65000,0.00000,0.00000,5.37000,9.70000,1.00000,6.65000,15.07000,21.72000,2.26617,34.50000,46.00000,10.06250,55.50000,5.54167,59.20000,3.70000,65.80000,7.70000,83.40000,17.60000
physiology,28,15,3,12,7,183.4,183,H,1138.50000,6.88000,2.70000,1.00000,7.90000,0.00000,0.00000,9.58000,7.90000,17.48000,0.82463,37.70000,40.10000,2.10000,41.70000,0.93333,49.70000,8.00000,50.10000,0.46667,66.10000,16.00000
physiology,61,20,3,13,1,188.1,188,H,906.80000,12.22000,0.00000,0.00000,12.72000,1.40000,1.00000,12.22000,14.12000,26.34000,1.15548,48.70000,27.30000,-18.72500,33.80000,3.79167,39.10000,5.30000,43.00000,4.55000,53.40000,10.40000
physiology,112,20,3,13,2,153.1,153,R,1897.70000,11.34000,0.00000,0.00000,16.04000,7.40000,1.00000,11.34000,23.44000,34.78000,2.06702,34.70000,52.60000,15.66250,71.20000,10.85000,75.10000,3.90000,82.10000,8.16667,103.60000,21.50000
physiology,190,20,3,13,3,176.2,176,T,1883.40000,13.16000,0.00000,0.00000,14.94000,5.50000,1.00000,13.16000,20.44000,33.60000,1.55319,38.90000,47.60000,7.61250,55.20000,4.43333,59.60000,4.40000,62.60000,3.50000,66.40000,3.80000
physiology,131,20,3,13,4,186.4,186,G,1382.70000,10.84000,0.00000,0.00000,14.15000,10.50000,1.00000,10.84000,24.65000,35.49000,2.27399,42.30000,34.70000,-6.65000,42.80000,4.72500,52.10000,9.30000,58.60000,7.58333,68.80000,10.20000
physiology,168,20,3,13,5,184.4,184,F,1647.10000,9.20000,0.00000,0.00000,19.35000,10.70000,1.00000,9.20000,30.05000,39.25000,3.26630,41.00000,53.00000,10.50000,52.30000,-0.40833,52.30000,0.00000,53.10000,0.93333,51.20000,-1.90000
physiology,320,20,3,13,6,296.6,296,I,1276.00000,8.86000,0.00000,0.00000,13.70000,6.50000,1.00000,8.86000,20.20000,29.06000,2.27991,43.60000,52.50000,7.78750,53.60000,0.64167,54.10000,0.50000,53.70000,-0.46667,54.00000,0.30000
