"","obs","pot","geno","trt","combo","rep","measure","SM","Bv","Br","DMCv","DMCr","B_A","SLA","LA","Rl","Rsa","Rd","Rv","Rt","Rsa_la","srl","ssa"
"95",4659,123,3,25,14,4,"biomass",268.5,1.6203,1.5998,0.24767,0.09849,0.98735,239.82894,354.94683,7283.92685,898.94046,0.3928,8.82833,19475.82609,2.53261,4553.02341,561.90803
"96",4731,195,3,25,14,5,"biomass",1001.6,3.4986,3.6123,0.26948,0.11047,1.0325,221.45649,739.66469,28735.20602,2675.4675,0.2964,19.81214,93851.48227,3.61714,7954.8227,740.65485
"97",4745,209,3,25,14,6,"biomass",1117,2.8084,2.8806,0.26829,0.09172,1.02571,259.76415,690.97264,13227.33017,1675.14496,0.4031,16.8748,39453.76238,2.42433,4591.86634,581.5264
"98",4828,292,3,25,14,7,"biomass",811.7,2.7938,3.3703,0.26328,0.10629,1.20635,247.54579,651.04542,30699.93725,2577.85299,0.2673,17.22784,127452.536,3.95956,9108.96278,764.87345
"99",4563,27,3,30,15,1,"biomass",1293.5,2.0373,2.1551,0.27883,0.09178,1.05782,246.23545,482.62147,16004.3692,1505.51043,0.2994,11.26203,45973.33975,3.11944,7426.27683,698.58031
"100",4593,57,3,30,15,2,"biomass",827.9,1.5051,1.7636,0.27085,0.12996,1.17175,240.1199,331.36547,18233.80062,1327.40792,0.2317,7.69707,65686.62712,4.00587,10338.9661,752.66949
"101",4598,62,3,30,15,3,"biomass",2847.1,1.7703,2.2462,0.25289,0.09824,1.26882,237.82412,394.78803,20721.17639,1364.33071,0.2096,7.13572,74956.0663,3.45586,9224.99172,607.39503
"102",4654,118,3,30,15,4,"biomass",1079.8,1.6901,1.6346,0.26015,0.11058,0.96716,236.16729,380.22934,21119.76235,1486.42911,0.224,8.32757,75276.61466,3.9093,12920.44681,909.35343
"103",4708,172,3,30,15,5,"biomass",1363.6,1.6811,1.5744,0.2673,0.10314,0.93653,236.61041,380.94276,17084.5421,1224.76421,0.2282,7.00242,53364.83721,3.21509,10851.46221,777.92442
"104",4783,247,3,30,15,6,"biomass",1362.1,1.5511,1.549,0.23984,0.11588,0.99865,240.9989,351.8584,12659.45192,1060.5793,0.2667,7.06239,34366.79661,3.01422,8172.66102,684.68644
"105",4855,319,3,30,15,7,"biomass",902.5,1.2858,1.3987,0.25558,0.10654,1.08781,235.4662,282.55944,13556.53667,1095.26008,0.2572,7.01787,33578.54704,3.87621,9692.24042,783.05575
