obs,pot,geno,trt,combo,rep,measure,SM,Bv,Br,DMCv,DMCr,B_A,SLA,LA,Rl,Rsa,Rd,Rv,Rt,Rsa_la,srl,ssa
4827,291,3,20,13,6,biomass,1293.50000,3.15500,3.25710,0.27715,0.11062,1.03236,253.11429,771.99857,36269.39477,2734.46230,0.24000,16.40082,129899.60580,3.54206,11135.48702,839.53895
4836,300,3,20,13,7,biomass,378.50000,1.80060,2.28760,0.27336,0.11559,1.27047,253.60492,413.37603,17856.85253,1651.07530,0.29430,12.13959,41457.43494,3.99412,7805.93309,721.75000
4603,67,3,25,14,1,biomass,1553.50000,2.82460,3.37180,0.25429,0.11921,1.19373,278.66774,752.40289,20836.26950,2108.86991,0.32220,16.96919,73276.04575,2.80285,6179.56863,625.44336
4617,81,3,25,14,2,biomass,1314.40000,3.32920,3.64420,0.25984,0.11309,1.09462,233.34799,739.71313,20219.37719,2185.28783,0.34400,18.78583,67988.80597,2.95424,5548.37199,599.66188
4645,109,3,25,14,3,biomass,280.50000,1.53070,1.43650,0.22962,0.09510,0.93846,278.64954,392.89586,NA,NA,NA,NA,NA,NA,NA,NA
4659,123,3,25,14,4,biomass,268.50000,1.62030,1.59980,0.24767,0.09849,0.98735,239.82894,354.94683,7283.92685,898.94046,0.39280,8.82833,19475.82609,2.53261,4553.02341,561.90803
4731,195,3,25,14,5,biomass,1001.60000,3.49860,3.61230,0.26948,0.11047,1.03250,221.45649,739.66469,28735.20602,2675.46750,0.29640,19.81214,93851.48227,3.61714,7954.82270,740.65485
4745,209,3,25,14,6,biomass,1117.00000,2.80840,2.88060,0.26829,0.09172,1.02571,259.76415,690.97264,13227.33017,1675.14496,0.40310,16.87480,39453.76238,2.42433,4591.86634,581.52640
4828,292,3,25,14,7,biomass,811.70000,2.79380,3.37030,0.26328,0.10629,1.20635,247.54579,651.04542,30699.93725,2577.85299,0.26730,17.22784,127452.53600,3.95956,9108.96278,764.87345
4563,27,3,30,15,1,biomass,1293.50000,2.03730,2.15510,0.27883,0.09178,1.05782,246.23545,482.62147,16004.36920,1505.51043,0.29940,11.26203,45973.33975,3.11944,7426.27683,698.58031
4593,57,3,30,15,2,biomass,827.90000,1.50510,1.76360,0.27085,0.12996,1.17175,240.11990,331.36547,18233.80062,1327.40792,0.23170,7.69707,65686.62712,4.00587,10338.96610,752.66949
4598,62,3,30,15,3,biomass,2847.10000,1.77030,2.24620,0.25289,0.09824,1.26882,237.82412,394.78803,20721.17639,1364.33071,0.20960,7.13572,74956.06630,3.45586,9224.99172,607.39503
4654,118,3,30,15,4,biomass,1079.80000,1.69010,1.63460,0.26015,0.11058,0.96716,236.16729,380.22934,21119.76235,1486.42911,0.22400,8.32757,75276.61466,3.90930,12920.44681,909.35343
4708,172,3,30,15,5,biomass,1363.60000,1.68110,1.57440,0.26730,0.10314,0.93653,236.61041,380.94276,17084.54210,1224.76421,0.22820,7.00242,53364.83721,3.21509,10851.46221,777.92442
4783,247,3,30,15,6,biomass,1362.10000,1.55110,1.54900,0.23984,0.11588,0.99865,240.99890,351.85840,12659.45192,1060.57930,0.26670,7.06239,34366.79661,3.01422,8172.66102,684.68644
4855,319,3,30,15,7,biomass,902.50000,1.28580,1.39870,0.25558,0.10654,1.08781,235.46620,282.55944,13556.53667,1095.26008,0.25720,7.01787,33578.54704,3.87621,9692.24042,783.05575
