,measure,descr,param,mean,sd,25%,75%,2.50%,97.50%,Rhat,geno,trt,Pr
"b[6]","max_H","(geno)2","beta",9.48048911617184,1.02644552184364,8.80506518987905,10.1667299498345,7.43244632838675,11.4293865119993,1.00077498718864,"none","none",1
"b[7]","max_H","(geno)5","beta",12.0170988222158,1.18513870734468,11.2150753964444,12.8127889377921,9.71348896821586,14.3520881492735,1.00043305340444,"none","none",1
"b[8]","max_H","(trt)15:(geno)2","beta",0.747492498147831,1.34266369529962,-0.13885346373338,1.61637343969064,-1.86755152345926,3.53335348261288,1.00031968260191,"none","none",0.65
"b[9]","max_H","(trt)20:(geno)2","beta",0.677425789313445,1.40872381071055,-0.26797667880777,1.58018450458141,-2.01003599296,3.5795166765453,1.00005762977412,"none","none",0.64
"b[10]","max_H","(trt)25:(geno)2","beta",2.28368702037465,1.57961344115145,1.18854692552528,3.32074159821243,-0.587422601714012,5.55715292042377,1.00011666113396,"none","none",0.9
"b[11]","max_H","(trt)30:(geno)2","beta",1.66295625126593,1.49297370422223,0.636940310072078,2.61844321945453,-1.0794477639511,4.80013305990988,1.00046788552337,"none","none",0.82
"b[12]","max_H","(trt)15:(geno)5","beta",0.525092130770466,1.4287118835018,-0.418094340653326,1.44646274492249,-2.2645308557963,3.39787359746184,1.00010031904021,"none","none",0.6
"b[13]","max_H","(trt)20:(geno)5","beta",-5.34622159301446,1.7722955025349,-6.5547111940467,-4.14261775874133,-8.83478520995965,-1.88495719729104,1.0000680596575,"none","none",1
"b[14]","max_H","(trt)25:(geno)5","beta",-7.11521338747245,1.81336316879721,-8.35038962319599,-5.9197529815624,-10.5774422886269,-3.47947602292541,1.00014973858338,"none","none",1
"b[15]","max_H","(trt)30:(geno)5","beta",-2.65294077461152,1.65604903882806,-3.76485106684049,-1.49159540692478,-6.01754985137749,0.415433882132653,1.00035836638215,"none","none",0.94
"G_E[1]","max_H","no_descr","G11[R]-G2[R]",-10.1579149054853,1.17810867898769,-10.9345329018864,-9.37182055335407,-12.4769745941439,-7.88040719047034,0.99990278534083,"none","none",1
"G_E[2]","max_H","no_descr","G11[R]-G5",-6.67087722920133,1.3050306901961,-7.56169462821885,-5.79459864685198,-9.21032825194046,-4.14872712511623,0.999839103605429,"none","none",1
"G_E[3]","max_H","no_descr","G2[R]-G5",3.48703767628396,1.27473353998708,2.61569787274308,4.3323135304033,0.996022674832502,6.00764614871447,0.999924367812139,"none","none",1
"T_E[1]","max_H","no_descr","trt_effect",9.59789500756865,0.882685034233042,9.01243230366948,10.1939079914398,7.80877254510772,11.2880072578991,1.00028524186079,"none","none",1
"I_E[1]","max_H","no_descr","int_effect",-1.15221525815326,0.955326879448315,-1.80588476745855,-0.5158574263088,-2.98432626105153,0.766515360895348,1.00065456837727,"none","none",0.8
"Y[1]","max_H","no_descr","posterior value",22.7548776156271,0.837160782159851,22.1810107992429,23.319061705355,21.1356126736274,24.4086540212917,1.00043496100107,"G11","10",1
"Y[2]","max_H","no_descr","posterior value",25.1211454844303,0.842139144597941,24.5523939390133,25.6871214483871,23.4669096255844,26.7332602808918,1.00007590762608,"G11","15",1
"Y[3]","max_H","no_descr","posterior value",37.0706921524487,0.889198692141917,36.4819397442633,37.6687037378263,35.3142467162018,38.8099682524492,0.999912370905079,"G11","20",1
"Y[4]","max_H","no_descr","posterior value",38.0838487199635,0.921819863641213,37.4641313064567,38.7022166090969,36.2560464324499,39.8735347596968,0.999945764386212,"G11","25",1
"Y[5]","max_H","no_descr","posterior value",29.1354041359406,0.875994421901351,28.5547960132382,29.714898265234,27.3887791453235,30.8813809782934,1.00004211183584,"G11","Sat'd",1
"Y[6]","max_H","no_descr","posterior value",32.2353667317989,0.813616070534204,31.6935653431715,32.7880225924578,30.6190839364536,33.8068676585674,1.00007216120893,"G2","10",1
"Y[7]","max_H","no_descr","posterior value",35.34912709875,0.877840375589409,34.751484776572,35.9521443304507,33.6459571584159,37.0698505596821,0.9999668769401,"G2","15",1
"Y[8]","max_H","no_descr","posterior value",47.2286070579339,0.885234635878038,46.6448544383502,47.8197923599019,45.4890639328831,48.9732187934174,0.999888796867527,"G2","20",1
"Y[9]","max_H","no_descr","posterior value",49.8480248565099,0.916026930035016,49.2249714520834,50.4564150149832,48.0492273582608,51.6692895816492,1.00002707082432,"G2","25",1
"Y[10]","max_H","no_descr","posterior value",40.2788495033783,0.9184425242571,39.662209577623,40.9002543168013,38.4694847338764,42.1097627937327,0.999840799098573,"G2","Sat'd",1
"Y[11]","max_H","no_descr","posterior value",34.7719764378429,0.893658491894968,34.1666842124304,35.3743529849314,33.0171631029005,36.5191367335764,0.99999702262051,"G5","10",1
"Y[12]","max_H","no_descr","posterior value",37.6633364374166,0.877553676060866,37.0820906184178,38.2510555014261,35.9156106357232,39.3740537285827,0.999853784355351,"G5","15",1
"Y[13]","max_H","no_descr","posterior value",43.74156938165,0.927563944396315,43.1290946025934,44.3674306974121,41.9204522385553,45.5453615974281,0.999993474869952,"G5","20",1
"Y[14]","max_H","no_descr","posterior value",42.9857341547068,0.944642741772684,42.3360026812711,43.6196953284826,41.1676382380192,44.8598845506346,1.00004341139466,"G5","25",1
"Y[15]","max_H","no_descr","posterior value",38.4995621835448,0.915854259793535,37.8829105558457,39.1284732677641,36.6895195709772,40.2780633106825,1.00001455014184,"G5","Sat'd",1
"b[1]","max_rgr","(Intercept)","beta",1.12637305782619,0.371599622393103,0.878495109042533,1.37108171087369,0.399116060627976,1.86547649286624,0.999982085007647,"none","none",1
"b[2]","max_rgr","(trt)15","beta",1.7655025546289,0.515116849716965,1.41566141528165,2.11061312329673,0.760473273190279,2.77992610765922,1.00008112436299,"none","none",1
"b[3]","max_rgr","(trt)20","beta",4.26760629193364,0.530994650753153,3.91241074615908,4.62637068561185,3.23566265850674,5.29461180942293,0.999993697206712,"none","none",1
"b[4]","max_rgr","(trt)25","beta",4.13660068555939,0.538277704837203,3.76505551384141,4.50279727948383,3.09583338475684,5.19876800999123,0.999916117363651,"none","none",1
"b[5]","max_rgr","(trt)30","beta",3.58528355911589,0.538669300764552,3.2166298855748,3.94467704135793,2.54494992718395,4.65264282683669,1.00002747087088,"none","none",1
"b[6]","max_rgr","(geno)2","beta",0.929772430877535,0.498137707274687,0.591011502462007,1.26860159831145,-0.0483885127819267,1.90271814501406,0.999914394154323,"none","none",0.98
